"id","name","address","local","city","state","zip","lat","lng","phone","description","created_at","updated_at"
"7654","Sun Catchers Tanning Spa","4 Cook St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(508) 329-1089","79. Sun Catchers Tanning SpaPet Boarding & KennelsKennels",NULL,NULL
"7655","Sudbury Animal Hospital","662 Boston Post Rd","Sudbury, MA 01776","Sudbury","MA","01776",NULL,NULL,"(978) 443-2839","80. Sudbury Animal HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians(3)WebsiteServices36 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7656","Middlesex Veterinary Center","31 Stevens St","Littleton, MA 01460","Littleton","MA","01460",NULL,NULL,"(978) 952-8500","82. Middlesex Veterinary CenterPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices19 Yearsin Business",NULL,NULL
"7657","Framingham Animal Hospital Inc","1415 Edgell Rd","Framingham, MA 01701","Framingham","MA","01701",NULL,NULL,"(508) 877-0900","83. Framingham Animal Hospital IncPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices48 Yearsin Business",NULL,NULL
"7658","Whole Pet Veterinary Center","270 Littleton Rd Ste 20","Westford, MA 01886","Westford","MA","01886",NULL,NULL,"(978) 692-4328","84. Whole Pet Veterinary CenterPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsWebsite5 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7659","Walden Pet Services","336 Baker Ave","Concord, MA 01742","Concord","MA","01742",NULL,NULL,"(978) 369-3278","85. Walden Pet ServicesPet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite9 Yearsin Business",NULL,NULL
"7660","Jan The Pet Nanny","116 Nob Hill Dr","Framingham, MA 01701","Framingham","MA","01701",NULL,NULL,"(508) 877-1882","86. Jan The Pet NannyPet Boarding & KennelsPet ServicesWebsite21 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7661","Concord Animal Hospital","245 Baker Ave","Concord, MA 01742","Concord","MA","01742",NULL,NULL,"(978) 369-3503","88. Concord Animal HospitalPet Boarding & KennelsVeterinariansPet ServicesWebsiteServices17 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7662","Flying Fur","27 Nicholas Rd","Framingham, MA 01701","Framingham","MA","01701",NULL,NULL,"(508) 877-8177","89. Flying FurPet Boarding & KennelsPet GroomingPet StoresWebsite21 Yearsin Business",NULL,NULL
"7663","Skipton Pet Lodge","33 W Union St","Ashland, MA 01721","Ashland","MA","01721",NULL,NULL,"(978) 973-7855","90. Skipton Pet LodgePet Boarding & KennelsPet ServicesPet Sitting & Exercising ServicesWebsite9 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7664","Countryside Veterinary Hospital","289 Littleton Rd","Chelmsford, MA 01824","Chelmsford","MA","01824",NULL,NULL,"(978) 256-9555","91. Countryside Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServices38 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7665","Jacobs Jackie DVM","289 Littleton Rd","Chelmsford, MA 01824","Chelmsford","MA","01824",NULL,NULL,"(978) 256-9555","92. Jacobs Jackie DVMPet Boarding & KennelsDog TrainingPet GroomingServices",NULL,NULL
"7666","Slade Veterinary Hospital","334 Concord St","Framingham, MA 01702","Framingham","MA","01702",NULL,NULL,"(508) 875-7086","93. Slade Veterinary HospitalPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsWebsiteServices78 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7667","Palmer Kennels","28 Skyline Dr","Acton, MA 01720","Acton","MA","01720",NULL,NULL,"(978) 263-4979","94. Palmer KennelsPet Boarding & KennelsKennelsWebsite32 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7668","Bark-O-Lounge Dog Daycare","675 Great Rd","Littleton, MA 01460","Littleton","MA","01460",NULL,NULL,"(978) 486-1002","95. Bark-O-Lounge Dog DaycarePet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite16 Yearsin Business",NULL,NULL
"7669","Tails By Wayside Ltd Liability Tails By Wayside Ltd Liability","882 Boston Post Rd","Sudbury, MA 01776","Sudbury","MA","01776",NULL,NULL,"(978) 579-7956","96. Tails By Wayside Ltd Liability Tails By Wayside Ltd LiabilityPet Boarding & KennelsKennelsPet Services19 Yearsin BusinessAmenities:Wheelchair accessible",NULL,NULL
"7670","Worcester Cat Hospital & Bird Clinic","347 Park Ave","Worcester, MA 01610","Worcester","MA","01610",NULL,NULL,"(508) 798-0400","97. Worcester Cat Hospital & Bird ClinicPet Boarding & KennelsVeterinariansVeterinary Clinics & Hospitals(2)Website29 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7671","Best Friends Pet Care","150 Boston Post Rd","Sudbury, MA 01776","Sudbury","MA","01776",NULL,NULL,"(978) 206-1190","98. Best Friends Pet CarePet Boarding & KennelsPet ServicesDog Day CareWebsite",NULL,NULL
"7672","Chez Mieux","81 Speen St # 2","Natick, MA 01760","Natick","MA","01760",NULL,NULL,"(508) 545-1808","99. Chez MieuxPet Boarding & KennelsKennelsPet ServicesWebsite15 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7673","Precious Furs Pet Resort",,"bar, fo 11111","bar","fo","11111",NULL,NULL,,"Precious Furs Pet ResortPet Boarding & KennelsPet GroomingDog Day CareKennelsPet Services(13)BBB Rating: A+WebsiteReservationsDirectionsMore Info19 Yearsin Business7 Years withYellow Pages",NULL,NULL
"7674","Gibson Kennels-139 Upton St",,"bar, fo 11111","bar","fo","11111",NULL,NULL,,"Gibson Kennels-139 Upton StDog & Cat Grooming & SuppliesKennelsDog Day CareWebsiteDirectionsMore Info22 Yearsin Business",NULL,NULL
"7675","Barton Brook Kennel & Humane Shelter Inc","305 River St","Leicester, MA 01524","Leicester","MA","01524",NULL,NULL,"(508) 892-0321","1. Barton Brook Kennel & Humane Shelter IncPet Boarding & KennelsPet StoresServicesAccreditedBusiness",NULL,NULL
"7676","Winterhill Farm & Kennel",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(508) 867-6929","2. Winterhill Farm & KennelPet Boarding & KennelsPet Grooming(4)Website31 Yearsin Business",NULL,NULL
"7677","Kylemore Terriers",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(617) 899-9738","3. Kylemore TerriersPet Boarding & KennelsDog & Cat Furnishings & SuppliesPet StoresWebsite14 Yearsin Business",NULL,NULL
"7678","Dog Training Elite Central Massachusetts",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(978) 480-6298","4. Dog Training Elite Central MassachusettsPet Boarding & KennelsDog & Cat Furnishings & SuppliesPet StoresWebsite",NULL,NULL
"7679","SIT K-9 OBEDIENCE",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(774) 239-0947","5. SIT K-9 OBEDIENCEPet Boarding & KennelsDog TrainingPet Breeders28 Yearsin Business",NULL,NULL
"7680","Barkwood Inn","462 Worcester Rd","Charlton, MA 01507","Charlton","MA","01507",NULL,NULL,"(508) 248-7474","6. Barkwood InnPet Boarding & KennelsPet Sitting & Exercising ServicesWebsite15 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7681","K-9 Plus Pet Service","35 Park Hill Rd","Worcester, MA 01607","Worcester","MA","01607",NULL,NULL,"(508) 321-7000","8. K-9 Plus Pet ServicePet Boarding & Kennels",NULL,NULL
"7682","Animal Rescue League","139 Holden St","Worcester, MA 01606","Worcester","MA","01606",NULL,NULL,"(508) 852-1868","9. Animal Rescue LeaguePet Boarding & KennelsKennelsWebsite111 Yearsin Business",NULL,NULL
"7683","Bark-N-Bubbles","154 Riverlin St","Millbury, MA 01527","Millbury","MA","01527",NULL,NULL,"(508) 865-8155","10. Bark-N-BubblesPet Boarding & KennelsKennelsPet Sitting & Exercising ServicesWebsite9 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7684","Apple Acres Boarding Kennel","6 Stowe Rd","Millbury, MA 01527","Millbury","MA","01527",NULL,NULL,"(508) 865-2227","11. Apple Acres Boarding KennelPet Boarding & KennelsPet GroomingWebsite25 Yearsin Business",NULL,NULL
"7685","Precious Furs Pet Resort","13 Lovett Road","Oxford, MA 01540","Oxford","MA","01540",NULL,NULL,"(508) 987-2927","12. Precious Furs Pet ResortPet Boarding & KennelsKennelsDog Day Care(13)WebsiteReservationsDirectionsMore Info19 Yearsin Business7 Years withYellow PagesAccreditedBusiness",NULL,NULL
"7686","Forever Reigning Cats & Dogs","23 Flagg St","Boylston, MA 01505","Boylston","MA","01505",NULL,NULL,"(508) 869-2020","14. Forever Reigning Cats & DogsPet Boarding & KennelsKennelsPet Sitting & Exercising Services18 Yearsin Business",NULL,NULL
"7687","Woof & Whisker Inn","265 Dudley River Rd","Southbridge, MA 01550","Southbridge","MA","01550",NULL,NULL,"(508) 764-4417","15. Woof & Whisker InnPet Boarding & KennelsPet GroomingWebsite35 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7688","All Day Dog Care","389 Lebanon Hill Rd","Southbridge, MA 01550","Southbridge","MA","01550",NULL,NULL,"(508) 581-7670","18. All Day Dog CarePet Boarding & KennelsDog & Cat Furnishings & SuppliesPet Stores",NULL,NULL
"7689","Dog Love Retreat","11 Meadow Ln","Upton, MA 01568","Upton","MA","01568",NULL,NULL,"(508) 259-6069","20. Dog Love RetreatPet Boarding & Kennels",NULL,NULL
"7690","Waggy Tailz Pet Sitting","167 Mechanic St","Upton, MA 01568","Upton","MA","01568",NULL,NULL,"(508) 529-3879","21. Waggy Tailz Pet SittingPet Boarding & Kennels19 Yearsin Business",NULL,NULL
"7691","All about the Pup","25 Brigham St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(508) 329-1616","23. All about the PupPet Boarding & Kennels8 Yearsin Business",NULL,NULL
"7692","Lil Monkey Babysitting & Petsitting","13 Belknap St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(904) 305-0089","24. Lil Monkey Babysitting & PetsittingPet Boarding & Kennels",NULL,NULL
"7693","Northeast K-9 Academy","9 Mill St","Webster, MA 01570","Webster","MA","01570",NULL,NULL,"(508) 949-3599","26. Northeast K-9 AcademyPet Boarding & KennelsPet TrainingPet Grooming26 Yearsin Business",NULL,NULL
"7694","Northeast K-9 Academy","9 Mill St","Dudley, MA 01571","Dudley","MA","01571",NULL,NULL,"(508) 949-3599","27. Northeast K-9 AcademyPet Boarding & KennelsPet TrainingPet Grooming",NULL,NULL
"7695","Pampered Pets Sitting","Grafton 01519","Grafton, MA 01519","Grafton","MA","01519",NULL,NULL,"(774) 293-1590","28. Pampered Pets SittingPet Boarding & KennelsWebsite",NULL,NULL
"7696","Dog Training Elite Worcester",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(508) 290-0363","29. Dog Training Elite WorcesterPet Boarding & KennelsDog TrainingWebsite",NULL,NULL
"7697","Sweetpea",,"Paxton, MA 01612","Paxton","MA","01612",NULL,NULL,"(508) 757-7959","30. SweetpeaPet Boarding & KennelsAnimal SheltersKennelsWebsite23 Yearsin Business",NULL,NULL
"7698","Kritter Sitter Pet Care and Grooming",,"Dudley, MA 01571","Dudley","MA","01571",NULL,NULL,"(508) 949-8653","31. Kritter Sitter Pet Care and GroomingPet Boarding & KennelsPet Grooming22 Yearsin Business",NULL,NULL
"7699","Collinswood K9 Services","81 West St","Auburn, MA 01501","Auburn","MA","01501",NULL,NULL,"(508) 832-9394","32. Collinswood K9 ServicesPet Boarding & KennelsPet TrainingKennels(2)Website21 Yearsin Business",NULL,NULL
"7700","Amy Pet Sitting Service","6 Walter St","Worcester, MA 01609","Worcester","MA","01609",NULL,NULL,"(508) 304-9195","33. Amy Pet Sitting ServicePet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"7701","VCA Auburn Animal Hospital","209 Southbridge St","Auburn, MA 01501","Auburn","MA","01501",NULL,NULL,"(774) 670-5091","34. VCA Auburn Animal HospitalPet Boarding & KennelsVeterinariansPet Services(5)Website25 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7702","Next Level Pet Care","33 Monroe Ave","Worcester, MA 01602","Worcester","MA","01602",NULL,NULL,"(508) 556-0656","35. Next Level Pet CarePet Boarding & KennelsPet Specialty ServicesSitting Services",NULL,NULL
"7703","Worcester Animal Res","139 Park Ave","Worcester, MA 01609","Worcester","MA","01609",NULL,NULL,"(508) 853-0030","36. Worcester Animal ResPet Boarding & KennelsKennels",NULL,NULL
"7704","Karuna Veterinary Clinic","577 Grove St","Worcester, MA 01605","Worcester","MA","01605",NULL,NULL,"(508) 852-7862","37. Karuna Veterinary ClinicPet Boarding & KennelsVeterinarians",NULL,NULL
"7705","Worcester Cat Hospital & Bird Clinic","347 Park Ave","Worcester, MA 01610","Worcester","MA","01610",NULL,NULL,"(508) 798-0400","38. Worcester Cat Hospital & Bird ClinicPet Boarding & KennelsVeterinariansVeterinary Clinics & Hospitals(2)Website29 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7706","Starwood Pet Resort","205 Federal Hill Rd","Oxford, MA 01540","Oxford","MA","01540",NULL,NULL,"(508) 987-0077","39. Starwood Pet ResortPet Boarding & KennelsDog & Cat Grooming & SuppliesHolistic Practitioners(1)",NULL,NULL
"7707","Snippers Hair Club for Dogs & Cats","82 Dresser Hill Rd","Charlton, MA 01507","Charlton","MA","01507",NULL,NULL,"(508) 248-0056","40. Snippers Hair Club for Dogs & CatsPet Boarding & KennelsPet GroomingKennels(1)12 Yearsin Business",NULL,NULL
"7708","Halpert Kimberly","21 E Mountain St","Worcester, MA 01606","Worcester","MA","01606",NULL,NULL,"(508) 853-3350","41. Halpert KimberlyPet Boarding & KennelsPet GroomingVeterinariansWebsiteServices",NULL,NULL
"7709","Northeast School For Dogs","133 Charlton St","Oxford, MA 01540","Oxford","MA","01540",NULL,NULL,"(508) 987-5392","42. Northeast School For DogsPet Boarding & KennelsPet TrainingKennelsWebsite27 Yearsin Business",NULL,NULL
"7710","Community Animal Hospital","15 Clews St","Shrewsbury, MA 01545","Shrewsbury","MA","01545",NULL,NULL,"(508) 753-7077","43. Community Animal HospitalPet Boarding & KennelsVeterinariansDog & Cat Grooming & Supplies(1)Website23 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7711","TLC Pet Haven","68 Worcester Providence Tpke","Sutton, MA 01590","Sutton","MA","01590",NULL,NULL,"(508) 865-3180","44. TLC Pet HavenPet Boarding & KennelsPet Sitting & Exercising ServicesPet StoresWebsite45 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7712","Pupparoo Daycare","185 Pleasant St","south grafton, MA 01560","south grafton","MA","01560",NULL,NULL,"(774) 813-4393","45. Pupparoo DaycarePet Boarding & KennelsPet ServicesPet Specialty Services7 Yearsin Business",NULL,NULL
"7713","The Inn At Restful Paws","70 Allen Hill Rd","Holland, MA 01521","Holland","MA","01521",NULL,NULL,"(413) 245-7792","46. The Inn At Restful PawsPet Boarding & KennelsHotelsLodging(10)WebsiteAmenities:Wheelchair accessibleHas Wifi",NULL,NULL
"7714","Holden Grooming","196 Campbell St","Rutland, MA 01543","Rutland","MA","01543",NULL,NULL,"(508) 886-2604","47. Holden GroomingPet Boarding & KennelsPet GroomingKennels25 Yearsin Business",NULL,NULL
"7715","Companion Pet Sitting","367 W Main St","Northborough, MA 01532","Northborough","MA","01532",NULL,NULL,"(508) 393-3370","48. Companion Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesPet GroomingWebsite33 Yearsin BusinessAmenities:Wheelchair accessible",NULL,NULL
"7716","J & L Pet Sitting Service","8 Fairground Rd","Sturbridge, MA 01566","Sturbridge","MA","01566",NULL,NULL,"(508) 347-3826","49. J & L Pet Sitting ServicePet Boarding & KennelsPet Sitting & Exercising Services25 Yearsin Business",NULL,NULL
"7717","Kelly Leslie","491 Walnut Hill Rd","Barre, MA 01005","Barre","MA","01005",NULL,NULL,"(978) 355-6800","50. Kelly LesliePet Boarding & KennelsKennelsWebsite33 Yearsin Business",NULL,NULL
"7718","Ravenelle, Lucille","8 Fairground Rd","Sturbridge, MA 01566","Sturbridge","MA","01566",NULL,NULL,"(508) 347-3826","52. Ravenelle, LucillePet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"7719","Sun Catchers Tanning Spa","2 Lancelot Rd","Shrewsbury, MA 01545","Shrewsbury","MA","01545",NULL,NULL,"(508) 845-6253","53. Sun Catchers Tanning SpaPet Boarding & KennelsKennels",NULL,NULL
"7720","Paw Plaza","1 River Rd","Sturbridge, MA 01566","Sturbridge","MA","01566",NULL,NULL,"(508) 347-7777","54. Paw PlazaPet Boarding & KennelsPet GroomingPet Training6 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7721","Fairy Tails Pet Spa","281 Main St","Webster, MA 01570","Webster","MA","01570",NULL,NULL,"(508) 461-9744","55. Fairy Tails Pet SpaPet Boarding & KennelsKennelsPet GroomingAccreditedBusiness",NULL,NULL
"7722","Le Petit Spa","10 Fay Mountain Rd","Grafton, MA 01519","Grafton","MA","01519",NULL,NULL,"(508) 340-2235","56. Le Petit SpaPet Boarding & KennelsKennels",NULL,NULL
"7723","Spot Trotter","111 Redemption Rock Trl","Sterling, MA 01564","Sterling","MA","01564",NULL,NULL,"(978) 563-1355","57. Spot TrotterPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"7724","Sun Catchers Tanning Spa","4 Cook St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(508) 329-1089","58. Sun Catchers Tanning SpaPet Boarding & KennelsKennels",NULL,NULL
"7725","Companion Pet Sitting","104 W Main St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(508) 393-3370","59. Companion Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"7726","Companion Pet Sitting","104 Main St","Northborough, MA 01532","Northborough","MA","01532",NULL,NULL,"(508) 393-3370","60. Companion Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"7727","Dog Daycare and Pet Boarding Facility","18 Granite St","Whitinsville, MA 01588","Whitinsville","MA","01588",NULL,NULL,"(508) 372-9376","61. Dog Daycare and Pet Boarding FacilityPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"7728","Tashjian Robt J Vmd Animal Medical Center","29 Prospect St","West Boylston, MA 01583","West Boylston","MA","01583",NULL,NULL,"(508) 835-5258","62. Tashjian Robt J Vmd Animal Medical CenterPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians35 Yearsin Business",NULL,NULL
"7729","Fox Run Kennel & Grooming","491 Walnut Hill Rd","Barre, MA 01005","Barre","MA","01005",NULL,NULL,"(978) 355-6800","63. Fox Run Kennel & GroomingPet Boarding & KennelsPet GroomingWebsite30 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7730","Lafleche Michelle","13 Mill Rd","Dudley, MA 01571","Dudley","MA","01571",NULL,NULL,"(508) 949-8653","65. Lafleche MichellePet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"7731","Pet Vacations","19 Carr Rd","Berlin, MA 01503","Berlin","MA","01503",NULL,NULL,"(978) 838-2567","66. Pet VacationsPet Boarding & KennelsPet Sitting & Exercising ServicesKennels(2)Website13 Yearsin Business",NULL,NULL
"7732","Precious Furs Pet Resort",,"bar, fo 11111","bar","fo","11111",NULL,NULL,,"Precious Furs Pet ResortPet Boarding & KennelsPet GroomingDog Day CareKennelsPet Services(13)BBB Rating: A+WebsiteReservationsDirectionsMore Info19 Yearsin Business7 Years withYellow Pages",NULL,NULL
"7733","Gibson Kennels-139 Upton St",,"bar, fo 11111","bar","fo","11111",NULL,NULL,,"Gibson Kennels-139 Upton StDog & Cat Grooming & SuppliesKennelsDog Day CareWebsiteDirectionsMore Info22 Yearsin Business",NULL,NULL
"7734","Winterhill Farm & Kennel",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(508) 867-6929","1. Winterhill Farm & KennelPet Boarding & KennelsPet Grooming(4)Website31 Yearsin Business",NULL,NULL
"7735","Kylemore Terriers",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(617) 899-9738","2. Kylemore TerriersPet Boarding & KennelsDog & Cat Furnishings & SuppliesPet StoresWebsite14 Yearsin Business",NULL,NULL
"7736","Dog Training Elite Central Massachusetts",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(978) 480-6298","3. Dog Training Elite Central MassachusettsPet Boarding & KennelsDog & Cat Furnishings & SuppliesPet StoresWebsite",NULL,NULL
"7737","SIT K-9 OBEDIENCE",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(774) 239-0947","4. SIT K-9 OBEDIENCEPet Boarding & KennelsDog TrainingPet Breeders28 Yearsin Business",NULL,NULL
"7738","Canine Camp","48 Shore Dr","Upton, MA 01568","Upton","MA","01568",NULL,NULL,"(508) 529-1164","7. Canine CampPet Boarding & KennelsPet Sitting & Exercising ServicesWebsite19 Yearsin Business",NULL,NULL
"7739","Cobblestone Kennels","145 W River St","Upton, MA 01568","Upton","MA","01568",NULL,NULL,"(508) 529-3095","8. Cobblestone KennelsPet Boarding & Kennels",NULL,NULL
"7740","Wolf Camp Mendon","23 Inman Hill Rd","Mendon, MA 01756","Mendon","MA","01756",NULL,NULL,"(508) 377-7219","9. Wolf Camp MendonPet Boarding & KennelsWebsite",NULL,NULL
"7741","Aldrich Street Kennel","610 Aldrich St","Uxbridge, MA 01569","Uxbridge","MA","01569",NULL,NULL,"(508) 278-7790","10. Aldrich Street KennelPet Boarding & KennelsPet GroomingWebsite34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7742","Dog Love Retreat","11 Meadow Ln","Upton, MA 01568","Upton","MA","01568",NULL,NULL,"(508) 259-6069","11. Dog Love RetreatPet Boarding & Kennels",NULL,NULL
"7743","Bellingham Animal Hospital","112 Mendon St","Bellingham, MA 02019","Bellingham","MA","02019",NULL,NULL,"(508) 966-1000","13. Bellingham Animal HospitalPet Boarding & KennelsVeterinary Specialty ServicesPet ServicesWebsiteDirectionsServicesMore Info17 Yearsin Business4 Years withYellow Pages",NULL,NULL
"7744","Sky Pet Care","156 West St","Milford, MA 01757","Milford","MA","01757",NULL,NULL,"(508) 381-1521","14. Sky Pet CarePet Boarding & KennelsPet ServicesPet GroomingWebsite",NULL,NULL
"7745","Waggy Tailz Pet Sitting","167 Mechanic St","Upton, MA 01568","Upton","MA","01568",NULL,NULL,"(508) 529-3879","15. Waggy Tailz Pet SittingPet Boarding & Kennels19 Yearsin Business",NULL,NULL
"7746","Pampered Pets Sitting","Grafton 01519","Grafton, MA 01519","Grafton","MA","01519",NULL,NULL,"(774) 293-1590","17. Pampered Pets SittingPet Boarding & KennelsWebsite",NULL,NULL
"7747","Precious Furs Pet Resort","13 Lovett Road","Oxford, MA 01540","Oxford","MA","01540",NULL,NULL,"(508) 987-2927","18. Precious Furs Pet ResortPet Boarding & KennelsKennelsPet Grooming(13)WebsiteReservationsDirectionsMore Info19 Yearsin Business7 Years withYellow PagesAccreditedBusiness",NULL,NULL
"7748","Camp Bow Wow","244 Maple St","Bellingham, MA 02019","Bellingham","MA","02019",NULL,NULL,"(508) 966-4111","19. Camp Bow WowPet Boarding & KennelsPet ServicesPet Sitting & Exercising Services(3)Website16 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7749","Pettery Paradise, Inc.","155 Barnes Rd","Harrisville, RI 02830","Harrisville","RI","02830",NULL,NULL,"(401) 568-0564","20. Pettery Paradise, Inc.Pet Boarding & Kennels",NULL,NULL
"7750","Bark-N-Bubbles","154 Riverlin St","Millbury, MA 01527","Millbury","MA","01527",NULL,NULL,"(508) 865-8155","22. Bark-N-BubblesPet Boarding & KennelsKennelsPet Sitting & Exercising ServicesWebsite9 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7751","Apple Acres Boarding Kennel","6 Stowe Rd","Millbury, MA 01527","Millbury","MA","01527",NULL,NULL,"(508) 865-2227","23. Apple Acres Boarding KennelPet Boarding & KennelsPet GroomingWebsite25 Yearsin Business",NULL,NULL
"7752","Critter Visits","70 Blackstone St","Bellingham, MA 02019","Bellingham","MA","02019",NULL,NULL,"(508) 922-6706","24. Critter VisitsPet Boarding & KennelsPet ServicesPet TrainingWebsite21 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7753","Coronet Kennels","1250 Pulaski Blvd","Bellingham, MA 02019","Bellingham","MA","02019",NULL,NULL,"(508) 883-8772","25. Coronet KennelsPet Boarding & Kennels",NULL,NULL
"7754","Colonial Kennel","165 Douglas Tpke","Harrisville, RI 02830","Harrisville","RI","02830",NULL,NULL,"(401) 568-6261","26. Colonial KennelPet Boarding & Kennels26 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7755","Yolandas Pet Sitting & Dog Training, LLC","71 Saint Louis Ave","Woonsocket, RI 02895","Woonsocket","RI","02895",NULL,NULL,"(401) 261-3793","27. Yolandas Pet Sitting & Dog Training, LLCPet Boarding & KennelsDog TrainingPet Sitting & Exercising Services21 Yearsin Business",NULL,NULL
"7756","Paws & Claws Pet Grooming","15 N Main St Ste 6C","Bellingham, MA 02019","Bellingham","MA","02019",NULL,NULL,"(508) 478-5842","28. Paws & Claws Pet GroomingPet Boarding & KennelsPet Grooming(1)Website37 Yearsin Business",NULL,NULL
"7757","Barkwood Inn","462 Worcester Rd","Charlton, MA 01507","Charlton","MA","01507",NULL,NULL,"(508) 248-7474","29. Barkwood InnPet Boarding & KennelsPet Sitting & Exercising ServicesWebsite15 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7758","Best Friends Pet Care","10 Fountain St","Ashland, MA 01721","Ashland","MA","01721",NULL,NULL,"(508) 881-3441","30. Best Friends Pet CarePet Boarding & KennelsPet TrainingPet GroomingWebsite",NULL,NULL
"7759","Countryside Kennels","90 Ellery St","Wrentham, MA 02093","Wrentham","MA","02093",NULL,NULL,"(508) 384-3484","31. Countryside KennelsPet Boarding & KennelsWebsite29 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7760","Lil Monkey Babysitting & Petsitting","13 Belknap St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(904) 305-0089","34. Lil Monkey Babysitting & PetsittingPet Boarding & Kennels",NULL,NULL
"7761","K-9 Plus Pet Service","35 Park Hill Rd","Worcester, MA 01607","Worcester","MA","01607",NULL,NULL,"(508) 321-7000","35. K-9 Plus Pet ServicePet Boarding & Kennels",NULL,NULL
"7762","All about the Pup","25 Brigham St","Westborough, MA 01581","Westborough","MA","01581",NULL,NULL,"(508) 329-1616","36. All about the PupPet Boarding & Kennels8 Yearsin Business",NULL,NULL
"7763","Destination Dog","7 Forge Pkwy","Franklin, MA 02038","Franklin","MA","02038",NULL,NULL,"(508) 541-8588","37. Destination DogPet Boarding & KennelsWebsite11 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7764","Canine Joint","7 Forge Pkwy","Franklin, MA 02038","Franklin","MA","02038",NULL,NULL,"(508) 541-6510","38. Canine JointPet Boarding & Kennels10 Yearsin Business",NULL,NULL
"7765","Happy Tails 2 U Petcare","1241 Washington St","Holliston, MA 01746","Holliston","MA","01746",NULL,NULL,"(617) 686-5557","39. Happy Tails 2 U PetcarePet Boarding & KennelsPet GroomingPet Sitting & Exercising Services28 Yearsin BusinessAccreditedBusiness",NULL,NULL
"7766","Snappy Dogs","93 E Main St","Hopkinton, MA 01748","Hopkinton","MA","01748",NULL,NULL,"(617) 383-7627","40. Snappy DogsPet Boarding & KennelsWebsiteAmenities:Offers outdoor seatingWheelchair accessible",NULL,NULL
